generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2021	1615294.85302	17290.0
CC_152	2037	1520146.36226	17290.0
CC_383	2021	1710419.80473	17290.0
CC_383	2037	1610213.83103	17290.0
CT_100	2021	1197293.86331	9010.0
CT_100	2037	1118624.21139	9010.0
CentralTrackingPV	2021	2528207.12013	22970.0
CentralTrackingPV	2037	1742968.2558	22970.0
DistPV	2021	3004667.94574	0.0
DistPV	2037	1979421.6992	0.0
IC_Barge	2021	1323517.35692	9010.0
IC_Barge	2037	1323510.5144	9010.0
IC_MCBH	2021	3075096.99652	9010.0
IC_MCBH	2037	2873221.00763	9010.0
IC_Schofield	2021	2412880.98656	9010.0
IC_Schofield	2037	2254436.87103	9010.0
OffshoreWind	2021	4052871.74051	96710.0
OffshoreWind	2037	2944037.41437	96710.0
OnshoreWind	2021	2304950.75289	27400.0
OnshoreWind	2037	2111428.98168	27400.0
