LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	210700	625.697103383
Oahu	210703	547.110599925
Oahu	210706	647.201919364
Oahu	210709	888.739994582
Oahu	210712	921.891444725
Oahu	210715	937.192958899
Oahu	210718	964.878768786
Oahu	210721	894.820364167
Oahu	370700	681.214502623
Oahu	370703	632.137395597
Oahu	370706	694.64421522
Oahu	370709	845.484237954
Oahu	370712	866.187249224
Oahu	370715	875.743012818
Oahu	370718	893.03274318
Oahu	370721	849.281416041
