generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2021	1427685.2816	17290.0
CC_152	2037	905074.296368	17290.0
CC_383	2021	1511761.87802	17290.0
CC_383	2037	958699.232064	17290.0
CT_100	2021	1058233.31461	9010.0
CT_100	2037	666013.514333	9010.0
DistPV	2021	2655688.64668	0.0
DistPV	2037	1178520.53335	0.0
IC_Barge	2021	1169796.49064	9010.0
IC_Barge	2037	788000.009276	9010.0
IC_MCBH	2021	2717937.66519	9010.0
IC_MCBH	2037	1710676.38377	9010.0
IC_Schofield	2021	2132635.20546	9010.0
IC_Schofield	2037	1342260.79502	9010.0
OffshoreWind	2021	3582148.06498	96710.0
OffshoreWind	2037	1752839.50115	96710.0
OnshoreWind	2021	2037240.60567	27400.0
OnshoreWind	2037	1257115.85895	27400.0
