scenario	weight
0	0.259959
1	0.000335
2	2e-05
3	1e-06
4	3e-06
5	2e-06
6	0.003412
7	3.3e-05
8	1e-06
9	7e-06
10	9e-06
11	0.000186
12	3e-06
13	7e-06
14	2e-06
15	1e-06
16	0.023315
17	0.001747
18	8e-06
19	4.1e-05
20	1.5e-05
21	9.8e-05
22	2.7e-05
23	0.000722
24	2e-06
25	0.068813
26	0.007623
27	1e-06
28	3e-06
29	0.000261
30	0.007261
31	0.003284
32	7e-06
33	0.000338
34	1e-06
35	4.3e-05
36	7e-06
37	0.000443
38	0.007159
39	8.5e-05
40	2e-06
41	0.001879
42	6e-06
43	0.00013
44	3e-06
45	7e-06
46	0.021348
47	3.3e-05
48	0.000205
49	1.5e-05
50	8.1e-05
51	0.000967
52	2.3e-05
53	3e-06
54	0.003312
55	1e-06
56	1e-06
57	0.001588
58	0.001829
59	1e-06
60	0.050806
61	0.124438
62	0.03333
63	0.001662
64	0.014226
65	0.001584
66	0.000167
67	3e-06
68	0.001187
69	0.132428
70	0.000406
71	6e-06
72	4.8e-05
73	2e-06
74	1.7e-05
75	2.6e-05
76	2e-06
77	0.016548
78	0.039798
79	1.6e-05
80	0.014973
81	1e-06
82	6e-06
83	2e-06
84	5.6e-05
85	1e-06
86	0.004515
87	0.00071
88	1e-05
89	3.5e-05
90	1e-06
91	5.7e-05
92	7e-06
93	0.000475
94	2.2e-05
95	1.2e-05
96	0.000329
97	0.000154
98	0.000113
99	3.2e-05
100	0.008193
101	0.005509
102	0.052862
103	5e-06
104	4.8e-05
105	0.002555
106	0.000463
107	0.001246
108	0.006037
109	0.015544
110	5e-06
111	0.006029
112	0.030144
113	6e-06
114	6e-06
115	0.000135
116	0.000976
117	0.003782
118	0.000649
119	0.000271
120	0.000291
121	0.01029
122	6e-06
123	1.7e-05
124	1e-06
