generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2020	1622023.11403	17290.0
CC_152	2025	1583249.60287	17290.0
CC_383	2020	1717929.18793	17290.0
CC_383	2025	1676933.01133	17290.0
CT_100	2020	1203015.99502	9010.0
CT_100	2025	1169339.27098	9010.0
CentralTrackingPV	2020	2615814.53251	22970.0
CentralTrackingPV	2025	2296522.06245	22970.0
DistPV	2020	3128586.4886	0.0
DistPV	2025	2612915.42852	0.0
IC_Barge	2020	1323131.36914	34460.0
IC_Barge	2025	1323491.06125	34460.0
IC_MCBH	2020	3090410.28442	34460.0
IC_MCBH	2025	3003830.74198	34460.0
IC_Schofield	2020	2424654.52866	34460.0
IC_Schofield	2025	2357415.22364	34460.0
OffshoreWind	2020	4190071.19008	96710.0
OffshoreWind	2025	3417741.07387	96710.0
OnshoreWind	2020	2309194.7892	27400.0
OnshoreWind	2025	2318238.52556	27400.0
