TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
200701090	2020	1.0	24	150.0
200701301	2020	1.0	24	5.0
200702010	2020	1.0	24	135.0
200703121	2020	1.0	24	5.0
200704091	2020	1.0	24	5.0
200705301	2020	1.0	24	5.0
200706051	2020	1.0	24	5.0
200707130	2020	1.0	24	150.0
200707191	2020	1.0	24	5.0
200708301	2020	1.0	24	5.0
200709071	2020	1.0	24	5.0
200709220	2020	1.0	24	145.0
200710060	2020	1.0	24	150.0
200710221	2020	1.0	24	5.0
200711071	2020	1.0	24	5.0
200712020	2020	1.0	24	150.0
200712041	2020	1.0	24	5.0
200802061	2020	1.0	24	5.0
200803300	2020	1.0	24	150.0
200804230	2020	1.0	24	145.0
200805230	2020	1.0	24	150.0
200806220	2020	1.0	24	145.0
200808080	2020	1.0	24	150.0
200811230	2020	1.0	24	145.0
250701110	2025	1.0	24	150.0
250701301	2025	1.0	24	5.0
250702020	2025	1.0	24	135.0
250703121	2025	1.0	24	5.0
250704091	2025	1.0	24	5.0
250705140	2025	1.0	24	150.0
250705301	2025	1.0	24	5.0
250706051	2025	1.0	24	5.0
250707191	2025	1.0	24	5.0
250708301	2025	1.0	24	5.0
250709071	2025	1.0	24	5.0
250709200	2025	1.0	24	145.0
250710050	2025	1.0	24	150.0
250710221	2025	1.0	24	5.0
250711071	2025	1.0	24	5.0
250712041	2025	1.0	24	5.0
250802061	2025	1.0	24	5.0
250803040	2025	1.0	24	150.0
250804290	2025	1.0	24	145.0
250806210	2025	1.0	24	145.0
250807200	2025	1.0	24	150.0
250808200	2025	1.0	24	150.0
250811060	2025	1.0	24	145.0
250812020	2025	1.0	24	150.0
