generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2021	1427685.2816	17290.0
CC_152	2029	1129246.97406	17290.0
CC_152	2037	905074.296368	17290.0
CC_152	2045	738414.651474	17290.0
CC_383	2021	1511761.87802	17290.0
CC_383	2029	1195977.81919	17290.0
CC_383	2037	958699.232064	17290.0
CC_383	2045	781816.538286	17290.0
CT_100	2021	1058233.31461	9010.0
CT_100	2029	832409.766414	9010.0
CT_100	2037	666013.514333	9010.0
CT_100	2045	543251.804733	9010.0
CentralTrackingPV	2021	2234566.7031	22970.0
CentralTrackingPV	2029	1327783.63211	22970.0
CentralTrackingPV	2037	1037739.39594	22970.0
CentralTrackingPV	2045	851722.704838	22970.0
DistPV	2021	2655688.64668	0.0
DistPV	2029	1698184.95539	0.0
DistPV	2037	1178520.53335	0.0
DistPV	2045	821140.395465	0.0
IC_Barge	2021	1169796.49064	9010.0
IC_Barge	2029	960118.797612	9010.0
IC_Barge	2037	788000.009276	9010.0
IC_Barge	2045	646658.984723	9010.0
IC_MCBH	2021	2717937.66519	9010.0
IC_MCBH	2029	2137688.10781	9010.0
IC_MCBH	2037	1710676.38377	9010.0
IC_MCBH	2045	1395559.99811	9010.0
IC_Schofield	2021	2132635.20546	9010.0
IC_Schofield	2029	1677475.38277	9010.0
IC_Schofield	2037	1342260.79502	9010.0
IC_Schofield	2045	1095242.2444	9010.0
OffshoreWind	2021	3582148.06498	96710.0
OffshoreWind	2029	2334429.04776	96710.0
OffshoreWind	2037	1752839.50115	96710.0
OffshoreWind	2045	1344875.91552	96710.0
OnshoreWind	2021	2037240.60567	27400.0
OnshoreWind	2029	1628002.51483	27400.0
OnshoreWind	2037	1257115.85895	27400.0
OnshoreWind	2045	970862.340577	27400.0
