LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2112007140	1009.71028083
Oahu	2112027140	529.215979934
Oahu	2112047140	529.215979934
Oahu	2112067140	529.215979934
Oahu	2112087140	955.556931656
Oahu	2112107140	996.208202404
Oahu	2112127140	1002.26626409
Oahu	2112147140	990.21726908
Oahu	2112167140	972.31146103
Oahu	2112187140	1029.06903586
Oahu	2112207140	932.811468958
Oahu	2112227140	766.160264948
Oahu	2112007041	593.104510488
Oahu	2112027041	541.231410762
Oahu	2112047041	635.555353421
Oahu	2112067041	927.412957062
Oahu	2112087041	1021.73689972
Oahu	2112107041	1081.50106106
Oahu	2112127041	1089.0456339
Oahu	2112147041	1075.25307523
Oahu	2112167041	1081.7023097
Oahu	2112187041	1172.49423635
Oahu	2112207041	1035.35058587
Oahu	2112227041	805.045527691
Oahu	2110007221	589.829615202
Oahu	2110027221	537.49821433
Oahu	2110047221	611.949228731
Oahu	2110067221	857.343432602
Oahu	2110087221	1024.89998263
Oahu	2110107221	1104.51476432
Oahu	2110127221	1138.40394423
Oahu	2110147221	1140.62818516
Oahu	2110167221	1109.91341265
Oahu	2110187221	1164.59191846
Oahu	2110207221	1017.05360504
Oahu	2110227221	776.309131669
Oahu	2110007130	627.384863187
Oahu	2110027130	566.670603598
Oahu	2110047130	585.649373904
Oahu	2110067130	724.190099281
Oahu	2110087130	924.193933857
Oahu	2110107130	1011.30853616
Oahu	2110127130	1003.52928693
Oahu	2110147130	980.571387526
Oahu	2110167130	978.648951339
Oahu	2110187130	1045.80118912
Oahu	2110207130	946.335787067
Oahu	2110227130	789.263404471
Oahu	2108007301	651.840393589
Oahu	2108027301	591.282630402
Oahu	2108047301	656.098951309
Oahu	2108067301	914.615112443
Oahu	2108087301	1068.28973575
Oahu	2108107301	1148.04982579
Oahu	2108127301	1172.68416049
Oahu	2108147301	1181.00002729
Oahu	2108167301	1142.78529773
Oahu	2108187301	1136.01201884
Oahu	2108207301	1069.0497052
Oahu	2108227301	821.37538832
Oahu	2108007060	610.987942418
Oahu	2108027060	558.645421706
Oahu	2108047060	634.560571147
Oahu	2108067060	896.731680513
Oahu	2108087060	1045.98006164
Oahu	2108107060	1123.47129494
Oahu	2108127060	1146.80917907
Oahu	2108147060	1145.34490759
Oahu	2108167060	1121.36998623
Oahu	2108187060	1086.3407157
Oahu	2108207060	1054.59773318
Oahu	2108227060	805.224400214
Oahu	2106007051	598.324286301
Oahu	2106027051	564.491046688
Oahu	2106047051	639.556722197
Oahu	2106067051	903.471463448
Oahu	2106087051	1063.46113272
Oahu	2106107051	1127.33854344
Oahu	2106127051	1151.58170536
Oahu	2106147051	1160.00931631
Oahu	2106167051	1132.99410784
Oahu	2106187051	1081.73573744
Oahu	2106207051	1046.58367113
Oahu	2106227051	811.818874806
Oahu	2104007100	562.445610059
Oahu	2104027100	509.60010418
Oahu	2104047100	582.955711986
Oahu	2104067100	853.666108251
Oahu	2104087100	966.555340529
Oahu	2104107100	1033.04816496
Oahu	2104127100	1053.24520586
Oahu	2104147100	1043.05165512
Oahu	2104167100	1011.99032562
Oahu	2104187100	1058.57672584
Oahu	2104207100	964.230407057
Oahu	2104227100	726.157287708
Oahu	2104007091	532.390250899
Oahu	2104027091	486.642204779
Oahu	2104047091	563.887505419
Oahu	2104067091	833.826675954
Oahu	2104087091	960.474902725
Oahu	2104107091	1028.71142726
Oahu	2104127091	1052.49642447
Oahu	2104147091	1049.44494929
Oahu	2104167091	1024.5646137
Oahu	2104187091	1061.33744789
Oahu	2104207091	988.551885397
Oahu	2104227091	730.091596343
Oahu	2102007170	584.274606904
Oahu	2102027170	519.860715064
Oahu	2102047170	532.312070918
Oahu	2102067170	677.894383973
Oahu	2102087170	878.758812322
Oahu	2102107170	946.212854845
Oahu	2102127170	915.967571542
Oahu	2102147170	886.47106963
Oahu	2102167170	896.675808432
Oahu	2102187170	952.796209597
Oahu	2102207170	866.296336628
Oahu	2102227170	711.571058964
Oahu	2912007310	640.041027206
Oahu	2912027310	603.132748866
Oahu	2912047310	628.329965614
Oahu	2912067310	728.347347425
Oahu	2912087310	811.930383524
Oahu	2912107310	850.883551273
Oahu	2912127310	844.899420471
Oahu	2912147310	831.425784577
Oahu	2912167310	844.968410412
Oahu	2912187310	859.928660846
Oahu	2912207310	770.261186707
Oahu	2912227310	715.626436961
Oahu	2912007041	657.07124386
Oahu	2912027041	627.959900815
Oahu	2912047041	680.894787425
Oahu	2912067041	844.686171875
Oahu	2912087041	897.621058485
Oahu	2912107041	931.160889566
Oahu	2912127041	935.394927041
Oahu	2912147041	927.65450071
Oahu	2912167041	931.273830923
Oahu	2912187041	982.226539289
Oahu	2912207041	905.261101007
Oahu	2912227041	776.013194306
Oahu	2910007221	655.233362557
Oahu	2910027221	625.8648195
Oahu	2910047221	667.646957674
Oahu	2910067221	805.362939327
Oahu	2910087221	899.396190335
Oahu	2910107221	944.076250589
Oahu	2910127221	963.094962546
Oahu	2910147221	964.343213395
Oahu	2910167221	947.105988633
Oahu	2910187221	977.791734194
Oahu	2910207221	894.992779109
Oahu	2910227221	759.886240511
Oahu	2910007180	666.147785587
Oahu	2910027180	635.995161516
Oahu	2910047180	675.82647703
Oahu	2910067180	823.196073316
Oahu	2910087180	902.287871927
